sku,name,description,short_description,price,special_price,weight,status,visibility,tax_class_id,qty,is_in_stock,categories,image,small_image,thumbnail,meta_title,meta_description,ean,manufacturer,color,size
/,"Colle stick en baton ""techno"" colle stick 36g ""techno"" ref: 5873 colle stick 21g ""techno"" ref: 5872 colle stick 15g ""techno"" ref: 5871 colle stick 8g ""techno"" ref: 5870","Baton de colle en pvp, leur mécanisme de torsion circulaire permet de délivrer autant de colle que nécessaire, séche rapidement, fermeture du capuchon par clique, idéal pour le papier carton, photo, textile et polystyrène.",,19.99,,9999000.0,1,4,2,100,1,,,,,,,,,,
001,"Parapluie cadeau maped",,,9.99,,10.0,1,4,2,100,1,,,,,,,,,,
01,"Gomme smiling planet fsc recyclee ""maped"" ref:112521fm","Produit éco-responsable, composé à 50% de fibres de bois certifié FSC. Gomme sans PVC ni phtalate, protection assortie. Précision d''effaçage : gomme en plastique dur. Fourreau ergonomique texturé. Display contenant 30 gommes.",,9.99,,20200.0,1,4,2,100,1,,,,,,,,,,
02,"Crayon graphite noir plastique glitter deco hb gomme ""maped"" ref:851805","Grâce à leur mine résistante, n''ayez plus peur de tailler votre crayon et de vous retrouver avec des mines cassantes. Leur corps triangulaire et ergonomique vous offre une prise en main facile et un confort d''écriture optimal. Les graphites extrudés Maped sont constitués de 41 % de matière recyclée. L''embout gomme permet d''effacer Rapidement votre erreur, et la facilité d''effaçage laisse un rendu propre quel que soit le support utilisé. Pot de 72 crayons graphite GLITTER ergonomiques au corps pailleté. 6 couleurs pastel : rose, bleu, vert, violet, doré, argenté. Idéal pour le dessin technique ou artistique, compagnon fidèle des élèves du CP à l''université, le crayon à papier HB est un indispensable de tous les environnements de travail. Dans cette optique, Maped a conçu un crayon graphite de haute qualité à la mine standard pour une écriture souple et agréable en main qui vous accompagnera durablement au quotidien. Les crayons graphite GLITTER sont en résine, fabriqués à 41% de matière recyclée et 16% de matière d''origine naturelle. La forme triangulaire des crayons à papier Maped assure une prise en main optimale pour un confort d''écriture et une précision de trait. La dureté moyenne des mines HB Maped permettent un bon effaçage à la gomme tout en préservant la qualité du papier ou du dessin.",,9.99,,7500.0,1,4,2,100,1,,,,,,,,,,
03,"Surligneur flex pastel couleurs assorties ""maped"" ref:740310","Grâce au surligneur Maped fluo flex optez pour un confort de surlignage exceptionnel. La pointe souple vous permettra de varier l''épaisseur de vos traits à l''infini et de réaliser différentes calligraphies. Il peut surligner là où les autres ne vont pas, tout en procurant une sensation de glisse inédite, et un confort d''écriture. Adopté par 62% des utilisateurs qui ont testé cette pointe. L''épaisseur du trait varie entre 1, 2 et 5 mm, selon le positionnement du surligneur. Il peut rester ouvert 4h sans sécher ! Son encre fabriquée à base d''eau, vous permet d''utiliser le surligneur en toute sécurité : les solvants sont bannis de nos encres !",,9.99,,17650.0,1,4,2,100,1,,,,,,,,,,
04,"Compas open version inter boite de 5 pcs ""maped"" ref:536955.old","Coffret compas metal open 5 pièces : 1 compas mine, 1 bague universelle, 1 crayon mini black''peps, 1 taille-mines et 1 étui-mines. Un compas en métal idéal pour les collégiens. Le compas est doté d''une chape ergonomique bimatière avec toucher soft. Une utilisation en douceur qui permet aux collégiens de tracer des motifs géométriques pendant des heures sans se faire mal aux mains.",,9.99,,64400.00000000001,1,4,2,100,1,,,,,,,,,,
1,TROUSSE,"<div class=''product-description''>\\n<h2>TROUSSE</h2>\\n\\n<p>Découvrez notre TROUSSE, un produit de qualité professionnelle conçu pour répondre à tous vos besoins. Que vous soyez étudiant, professionnel ou artiste, ce produit vous offre performance et fiabilité exceptionnelles.</p>\\n\\n<h3>Caractéristiques principales :</h3>\\n<ul>\\n  <li>Utilisation facile et intuitive</li>\\n  <li>Durabilité et résistance exceptionnelles</li>\\n  <li>Adapté pour usage scolaire et professionnel</li>\\n  <li>Excellent rapport qualité-prix</li>\\n  <li>Conforme aux normes de sécurité</li>\\n</ul>\\n\\n<h3>Applications :</h3>\\n<p>Ce produit est idéal pour :</p>\\n<ul>\\n  <li>Usage scolaire et éducatif</li>\\n  <li>Environnement professionnel et bureau</li>\\n  <li>Projets créatifs et artistiques</li>\\n  <li>Besoins quotidiens et personnels</li>\\n</ul>\\n\\n<h3>Pourquoi choisir ce produit ?</h3>\\n<ul>\\n  <li><strong>Qualité garantie :</strong> Produits testés et certifiés</li>\\n  <li><strong>Livraison rapide :</strong> Expédition sous 24-48h</li>\\n  <li><strong>Service client :</strong> Support disponible 6j/7</li>\\n  <li><strong>Satisfaction garantie :</strong> Retour possible sous 14 jours</li>\\n</ul>\\n\\n<p><strong>Commandez dès maintenant</strong> sur TechnoStationery et profitez de notre expertise et de notre service de qualité. Stock limité - Ne manquez pas cette opportunité!</p>\\n\\n<p class=''product-sku''><small>Référence produit : 1</small></p>\\n</div>",,19.99,,50000.0,1,4,2,100,1,,,,,,,,,,
10,"Toile sur chassis hexagonal 280g en coton ""techno"" toile sur chassis hexagonal 280g en coton 15cm ""techno"" ref: 3812 toile sur chassis hexagonal 280g en coton 19.5cm ""techno"" ref: 3811 toile sur chassis hexagonal 280g en coton 25cm ""techno"" ref: 4737","[''TOILE SUR CHASSIS HEXAGONAL 280g à grain moyen est un support parfaitement adapté à toutes les techniques de création : peinture (acrylique, huile, gouache, vinylique), collage…'', ''TOILE SUR CHASSIS HEXAGONAL 280g-15CM EN COTON à grain moyen est un support parfaitement adapté à toutes les techniques de création : peinture (acrylique, huile, gouache, vinylique), collage…'', ''TOILE SUR CHASSIS HEXAGONAL 280g-19.5CM EN COTON à grain moyen est un support parfaitement adapté à toutes les techniques de création : peinture (acrylique, huile, gouache, vinylique), collage…'', ''TOILE SUR CHASSIS HEXAGONAL (280g-25CM) EN COTON à grain moyen est un support parfaitement adapté à toutes les techniques de création : peinture (acrylique, huile, gouache, vinylique), collage…'']",,19.99,,9999000.0,1,4,2,100,1,,,,,,,,,,
100,"Fil chenille sous blister de 30 pieces ""techno"" fil chenille sous blister de 30 pieces uni ""techno"" ref: 4628 fil chenille sous blister de 30 pieces couleurs metallique ""techno"" ref: 4630","[''Ces 30 fils chenille sont idéalement conçus pour créer avec les enfants des personnages, ou toutes formes dictées par votre imagination.'', ''Ces 30 fils chenille couleur UNI sont idéalement conçus pour créer avec les enfants des personnages, ou toutes formes dictées par votre imagination. Vous pourrez les tordre, les tresser, les nouer… Longueur 30 cm.'', ''Ces 30 fils chenille couleur Metalic sont idéalement conçus pour créer avec les enfants des personnages, ou toutes formes dictées par votre imagination. Vous pourrez les tordre, les tresser, les nouer… Longueur 30 cm,'']",,19.99,,9999000.0,1,4,2,100,1,,,,,,,,,,
1000,"Peinture a eau de 12 couleurs motif turtules ninja bleu ""techno"" ref: 4389","Peinture a base d''eau ecolier motif garçon,12 tubes de 8 ml facile à appliquer sur tout type de support et avec différentes outils,Cet assortiment complet regroupe des couleurs vives et couvrantes pour peindre et faire des mélanges. Remarque : En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.",,450.0,,233.0,1,4,2,100,1,,,,,,,,,,
